id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0001,Licuadoras Kusi Max 98,Electrohogar,Licuadoras,Kusi,400.82,299.87,2021-10-16
P0002,Organización Sami Clásico 83,Hogar,Organización,Sami,439.96,351.32,2021-12-17
P0003,Fideos y pastas Puma Norte Max 18,Abarrotes,Fideos y pastas,Puma Norte,6.58,5.05,2021-11-19
P0004,Afeitado Runa Eco 98,Cuidado Personal,Afeitado,Runa,11.22,6.74,2021-02-23
P0005,Vinos y licores Runa Lite 62,Bebidas,Vinos y licores,Runa,3.47,2.62,2019-08-07
P0006,Muebles pequeños Nuna Max 79,Hogar,Muebles pequeños,Nuna,33.85,26.68,2021-04-09
P0007,Muebles pequeños Misti Clásico 65,Hogar,Muebles pequeños,Misti,30.84,23.0,2019-01-08
P0008,Afeitado Wayra Clásico 19,Cuidado Personal,Afeitado,,44.62,27.23,2022-03-06
P0009,Televisores Yachay Clásico 55,Electrohogar,Televisores,Yachay,684.4,458.41,2020-07-15
P0010,Papel higiénico Qori Lite 65,Limpieza,Papel higiénico,Qori,47.41,31.5,2022-03-03
P0011,Refrigeración Sami Familiar 98,Electrohogar,Refrigeración,Sami,2366.52,1633.78,2021-08-03
P0012,Lavavajillas Pacífico Familiar 40,Limpieza,Lavavajillas,Pacífico,7.07,4.32,2021-07-25
P0013,Jugos Puma Norte Familiar 16,Bebidas,Jugos,Puma Norte,2.53,1.95,2019-06-20
P0014,Cervezas Tika Max 1,Bebidas,Cervezas,Tika,24.44,17.64,2019-08-26
P0015,Snacks Wayra Lite 3,Abarrotes,Snacks,Wayra,15.36,10.63,2022-11-28
P0016,Desinfectantes Wayra Max 7,Limpieza,Desinfectantes,Wayra,6.84,5.05,2022-09-06
P0017,Ambientadores Chaska Familiar 43,Limpieza,Ambientadores,Chaska,47.96,33.4,2022-02-15
P0018,Cuidado de piel Inti Lite 39,Cuidado Personal,Cuidado de piel,Inti,55.61,33.81,2022-12-30
P0019,Snacks Tika Max 34,Abarrotes,Snacks,Tika,15.9,12.63,2020-10-27
P0020,Desinfectantes Qori Lite 43,Limpieza,Desinfectantes,Qori,9.28,6.26,2018-11-13
P0021,Jugos Kusi Eco 16,Bebidas,Jugos,Kusi,18.38,14.27,2020-01-18
P0022,Conservas Wayra Eco 72,Abarrotes,Conservas,Wayra,7.21,4.88,2021-01-07
P0023,Afeitado Runa Eco 31,Cuidado Personal,Afeitado,Runa,31.34,22.74,2019-11-01
P0024,Detergentes Pacífico Max 12,Limpieza,Detergentes,Pacífico,19.98,14.97,2020-07-28
P0025,Vinos y licores Puma Norte Eco 88,Bebidas,Vinos y licores,Puma Norte,3.27,2.47,2022-06-12
P0026,Conservas Puma Norte Max 15,Abarrotes,Conservas,Puma Norte,3.27,2.33,2021-09-03
P0027,Decoración Yachay Eco 44,Hogar,Decoración,Yachay,271.14,196.11,2021-02-08
P0028,Lavado Puma Norte Eco 60,Electrohogar,Lavado,Puma Norte,123.6,88.47,2018-08-21
P0029,Afeitado Runa Clásico 60,Cuidado Personal,Afeitado,Runa,22.15,13.35,2021-09-14
P0030,Vinos y licores Misti Premium 76,Bebidas,Vinos y licores,Misti,4.67,3.23,2020-02-25
P0031,Menaje Tika Max 72,Hogar,Menaje,Tika,74.39,54.76,2020-05-31
P0032,Shampoo Tika Max 85,Cuidado Personal,Shampoo,Tika,47.66,30.62,2020-04-23
P0033,Papel higiénico Andes Premium 80,Limpieza,Papel higiénico,Andes,7.57,5.19,2021-02-22
P0034,Muebles pequeños Puma Norte Premium 36,Hogar,Muebles pequeños,Puma Norte,211.58,150.13,2020-10-02
P0035,Gaseosas Sami Lite 6,Bebidas,Gaseosas,Sami,11.38,8.2,2019-01-18
P0036,Cuidado de piel Sami Eco 38,Cuidado Personal,Cuidado de piel,Sami,59.72,44.76,2020-10-15
P0037,Energizantes Puma Norte Max 60,Bebidas,Energizantes,Puma Norte,43.22,34.5,2021-11-17
P0038,Jugos Runa Eco 68,Bebidas,Jugos,Runa,24.79,18.67,2021-03-18
P0039,Cuidado dental Runa Lite 98,Cuidado Personal,Cuidado dental,Runa,31.13,24.62,2020-09-20
P0040,Harinas y azúcar Tika Eco 40,Abarrotes,Harinas y azúcar,Tika,7.83,4.83,2022-08-17
P0041,Papel higiénico Pacífico Premium 27,Limpieza,Papel higiénico,Pacífico,55.43,34.17,2019-09-07
P0042,Cuidado dental Yachay Familiar 90,Cuidado Personal,Cuidado dental,Yachay,13.94,11.13,2020-05-27
P0043,Arroz y menestras Qori Premium 63,Abarrotes,Arroz y menestras,Qori,3.75,2.43,2022-09-01
P0044,Microondas Puma Norte Max 78,Electrohogar,Microondas,Puma Norte,342.96,236.02,2020-09-01
P0045,Papel higiénico Nuna Max 29,Limpieza,Papel higiénico,Nuna,7.01,4.43,2020-11-03
P0046,Cuidado de piel Kusi Premium 85,Cuidado Personal,Cuidado de piel,Kusi,27.66,20.95,2018-08-22
P0047,Jugos Tika Eco 45,Bebidas,Jugos,Tika,8.24,5.75,2019-07-13
P0048,Papel higiénico Runa Eco 90,Limpieza,Papel higiénico,Runa,49.91,35.89,2019-02-07
P0049,Papel higiénico Runa Lite 64,Limpieza,Papel higiénico,Runa,26.74,16.44,2018-09-29
P0050,Detergentes Yachay Familiar 34,Limpieza,Detergentes,Yachay,19.45,13.39,2021-09-04
P0051,Cuidado dental Andes Clásico 29,Cuidado Personal,Cuidado dental,Andes,12.16,9.01,2022-06-29
P0052,Cuidado de piel Tika Lite 24,Cuidado Personal,Cuidado de piel,Tika,69.41,44.52,2018-12-26
P0053,Vinos y licores Chaska Eco 20,Bebidas,Vinos y licores,Chaska,31.97,22.34,2021-04-23
P0054,Fideos y pastas Pacífico Lite 72,Abarrotes,Fideos y pastas,Pacífico,8.76,5.88,2020-08-17
P0055,Refrigeración Wayra Lite 32,Electrohogar,Refrigeración,Wayra,824.6,653.61,2020-09-06
P0056,Desinfectantes Puma Norte Eco 68,Limpieza,Desinfectantes,Puma Norte,4.18,2.53,2019-07-20
P0057,Jugos Wayra Premium 75,Bebidas,Jugos,Wayra,4.56,3.06,2022-06-27
P0058,Papel higiénico Inti Eco 16,Limpieza,Papel higiénico,Inti,57.1,37.3,2021-04-30
P0059,Arroz y menestras Wayra Clásico 95,Abarrotes,Arroz y menestras,Wayra,10.32,6.48,2020-07-26
P0060,Muebles pequeños Killa Max 30,Hogar,Muebles pequeños,Killa,106.04,72.5,2020-08-16
P0061,Menaje Killa Premium 77,Hogar,Menaje,Killa,17.11,12.83,2022-09-06
P0062,Fideos y pastas Wayra Max 96,Abarrotes,Fideos y pastas,Wayra,5.18,3.34,2022-12-10
P0063,Gaseosas Nuna Max 89,Bebidas,Gaseosas,Nuna,36.92,25.51,2020-12-19
P0064,Televisores Sami Lite 4,Electrohogar,Televisores,Sami,106.2,84.56,2021-01-11
P0065,Jugos Inti Clásico 42,Bebidas,Jugos,Inti,32.65,22.96,2021-07-09
P0066,Cuidado dental Sami Max 16,Cuidado Personal,Cuidado dental,Sami,69.45,46.88,2019-11-26
P0067,Vinos y licores Nuna Eco 92,Bebidas,Vinos y licores,Nuna,7.1,5.38,2022-02-07
P0068,Microondas Tika Premium 81,Electrohogar,Microondas,Tika,96.16,68.28,2020-10-08
P0069,Organización Misti Eco 73,Hogar,Organización,Misti,48.73,38.69,2020-09-01
P0070,Organización Inti Max 31,Hogar,Organización,Inti,39.85,29.16,2022-06-25
P0071,Afeitado Chaska Clásico 95,Cuidado Personal,Afeitado,Chaska,68.14,49.63,2020-06-18
P0072,Conservas Sami Premium 55,Abarrotes,Conservas,Sami,3.63,2.36,2019-11-04
P0073,Textil hogar Nuna Max 93,Hogar,Textil hogar,Nuna,291.17,182.63,2019-09-24
P0074,Aceites Runa Eco 93,Abarrotes,Aceites,Runa,46.74,34.02,2018-09-04
P0075,Cervezas Nuna Premium 83,Bebidas,Cervezas,Nuna,6.42,5.04,2021-06-16
P0076,Vinos y licores Nuna Premium 79,Bebidas,Vinos y licores,Nuna,34.41,21.62,2021-03-13
P0077,Cuidado de piel Qori Clásico 59,Cuidado Personal,Cuidado de piel,Qori,29.19,22.29,2020-07-29
P0078,Papel higiénico Puma Norte Clásico 23,Limpieza,Papel higiénico,Puma Norte,8.22,5.67,2020-11-11
P0079,Arroz y menestras Yachay Familiar 67,Abarrotes,Arroz y menestras,Yachay,29.96,18.55,2020-09-18
P0080,Snacks Kusi Clásico 69,Abarrotes,Snacks,Kusi,14.86,11.02,2022-08-24
P0081,Shampoo Runa Eco 68,Cuidado Personal,Shampoo,Runa,7.81,6.19,2019-09-09
P0082,Desinfectantes Sami Familiar 16,Limpieza,Desinfectantes,Sami,39.83,23.97,2020-09-11
P0083,Cuidado de piel Kusi Clásico 16,Cuidado Personal,Cuidado de piel,Kusi,40.01,26.44,2020-10-23
P0084,Cuidado de piel Andes Max 38,Cuidado Personal,Cuidado de piel,Andes,63.56,43.14,2022-03-22
P0085,Organización Nuna Premium 64,Hogar,Organización,Nuna,101.13,73.14,2022-02-20
P0086,Textil hogar Killa Max 2,Hogar,Textil hogar,Killa,189.65,149.78,2021-01-07
P0087,Fideos y pastas Pacífico Max 12,Abarrotes,Fideos y pastas,Pacífico,8.65,6.65,2022-08-01
P0088,Decoración Andes Max 23,Hogar,Decoración,Andes,106.13,68.88,2022-03-30
P0089,Hervidores Sami Lite 22,Electrohogar,Hervidores,Sami,183.86,133.73,2019-12-11
P0090,Shampoo Runa Eco 3,Cuidado Personal,Shampoo,Runa,87.38,64.68,2022-08-17
P0091,Shampoo Misti Lite 74,Cuidado Personal,Shampoo,Misti,10.88,7.84,2018-12-19
P0092,Lavavajillas Qori Lite 6,Limpieza,Lavavajillas,Qori,25.53,19.62,2021-08-10
P0093,Organización Puma Norte Clásico 77,Hogar,Organización,Puma Norte,301.81,188.87,2022-01-14
P0094,Conservas Yachay Lite 15,Abarrotes,Conservas,Yachay,19.12,12.56,2020-10-30
P0095,Jabones Andes Lite 12,Cuidado Personal,Jabones,Andes,73.46,52.46,2020-07-20
P0096,Microondas Puma Norte Clásico 56,Electrohogar,Microondas,Puma Norte,1224.84,951.15,2022-11-04
P0097,Fideos y pastas Sami Max 83,Abarrotes,Fideos y pastas,Sami,10.42,7.42,2022-11-07
P0098,Jabones Nuna Max 8,Cuidado Personal,Jabones,Nuna,72.35,56.35,2022-04-17
P0099,Aguas Inti Lite 24,Bebidas,Aguas,Inti,2.47,1.66,2020-09-01
P0100,Hervidores Pacífico Familiar 88,Electrohogar,Hervidores,Pacífico,676.15,448.92,2018-10-24
P0101,Conservas Runa Eco 52,Abarrotes,Conservas,Runa,7.45,5.46,2019-09-20
P0102,Shampoo Pacífico Familiar 68,Cuidado Personal,Shampoo,Pacífico,7.67,5.29,2020-10-02
P0103,Textil hogar Kusi Premium 19,Hogar,Textil hogar,Kusi,336.07,257.68,2018-12-16
P0104,Cuidado dental Andes Eco 69,Cuidado Personal,Cuidado dental,Andes,51.73,38.14,2021-11-13
